round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.30952380952380953
1,1,0.30654761904761907
1,2,0.30654761904761907
1,3,0.2976190476190476
1,4,0.30654761904761907
1,5,0.3005952380952381
2,0,0.30357142857142855
2,1,0.3005952380952381
2,2,0.30357142857142855
2,3,0.30654761904761907
2,4,0.29464285714285715
2,5,0.30654761904761907
3,0,0.29464285714285715
3,1,0.3005952380952381
3,2,0.3005952380952381
3,3,0.2976190476190476
3,4,0.30654761904761907
3,5,0.29464285714285715
4,0,0.3005952380952381
4,1,0.2976190476190476
4,2,0.29464285714285715
4,3,0.30357142857142855
4,4,0.2916666666666667
4,5,0.30357142857142855
5,0,0.2976190476190476
5,1,0.30357142857142855
5,2,0.30654761904761907
5,3,0.2916666666666667
5,4,0.3005952380952381
5,5,0.2976190476190476
6,0,0.3005952380952381
6,1,0.2976190476190476
6,2,0.29464285714285715
6,3,0.30952380952380953
6,4,0.2976190476190476
6,5,0.3005952380952381
7,0,0.30357142857142855
7,1,0.30357142857142855
7,2,0.30952380952380953
7,3,0.2976190476190476
7,4,0.30654761904761907
7,5,0.30357142857142855
8,0,0.30654761904761907
8,1,0.30654761904761907
8,2,0.2976190476190476
8,3,0.30952380952380953
8,4,0.30357142857142855
8,5,0.30654761904761907
9,0,0.30357142857142855
9,1,0.30357142857142855
9,2,0.3125
9,3,0.3005952380952381
9,4,0.30654761904761907
9,5,0.30357142857142855
10,0,0.30654761904761907
10,1,0.30654761904761907
10,2,0.2976190476190476
10,3,0.30952380952380953
10,4,0.30357142857142855
10,5,0.30654761904761907
