round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,1.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9880952380952381
1,1,0.9819819819819819
1,2,0.9880952380952381
1,3,0.8203592814371258
1,4,0.7574850299401198
1,5,0.7559523809523809
2,0,0.9910179640718563
2,1,0.9819277108433735
2,2,0.987987987987988
2,3,0.9131736526946108
2,4,0.9156626506024096
2,5,0.9129129129129129
3,0,0.9879518072289156
3,1,0.9848942598187311
3,2,0.9879518072289156
3,3,0.9546827794561934
3,4,0.9604863221884499
3,5,0.9607250755287009
4,0,0.9848024316109423
4,1,0.9848484848484849
4,2,0.9877675840978594
4,3,0.9635258358662614
4,4,0.9663608562691132
4,5,0.9636363636363636
5,0,0.9846153846153847
5,1,0.9845679012345679
5,2,0.9907407407407407
5,3,0.9753086419753086
5,4,0.96
5,5,0.9695121951219512
6,0,0.9843260188087775
6,1,0.9875776397515528
6,2,0.9905362776025236
6,3,0.95625
6,4,0.9659442724458205
6,5,0.9660493827160493
7,0,0.9842271293375394
7,1,0.9873417721518988
7,2,0.987220447284345
7,3,0.9747634069400631
7,4,0.9623824451410659
7,5,0.9657320872274143
8,0,0.9838187702265372
8,1,0.9871794871794872
8,2,0.9870967741935484
8,3,0.9551282051282052
8,4,0.9746031746031746
8,5,0.9648562300319489
9,0,0.9836065573770492
9,1,0.9869706840390879
9,2,0.9868421052631579
9,3,0.9771241830065359
9,4,0.954248366013072
9,5,0.9572368421052632
10,0,0.9834983498349835
10,1,0.9866666666666667
10,2,0.9866220735785953
10,3,0.9464882943143813
10,4,0.9667774086378738
10,5,0.9531772575250836
