round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,1.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9730769230769231
1,1,0.9692307692307692
1,2,0.9692307692307692
1,3,0.8423076923076923
1,4,0.8038461538461539
1,5,0.7923076923076923
2,0,0.9730769230769231
2,1,0.9692307692307692
2,2,0.9692307692307692
2,3,0.9346153846153846
2,4,0.9346153846153846
2,5,0.926923076923077
3,0,0.9692307692307692
3,1,0.9692307692307692
3,2,0.9692307692307692
3,3,0.9461538461538461
3,4,0.9461538461538461
3,5,0.9423076923076923
4,0,0.9692307692307692
4,1,0.9692307692307692
4,2,0.9692307692307692
4,3,0.9538461538461539
4,4,0.9461538461538461
4,5,0.9461538461538461
5,0,0.9730769230769231
5,1,0.9692307692307692
5,2,0.9692307692307692
5,3,0.9461538461538461
5,4,0.9423076923076923
5,5,0.95
6,0,0.9768339768339769
6,1,0.9728682170542635
6,2,0.9730769230769231
6,3,0.9455252918287937
6,4,0.95
6,5,0.9418604651162791
7,0,0.9764705882352941
7,1,0.9765625
7,2,0.9767441860465116
7,3,0.9488188976377953
7,4,0.94140625
7,5,0.9529411764705882
8,0,0.9763779527559056
8,1,0.9760956175298805
8,2,0.9761904761904762
8,3,0.9442231075697212
8,4,0.9444444444444444
8,5,0.937007874015748
9,0,0.9717741935483871
9,1,0.975609756097561
9,2,0.975609756097561
9,3,0.948
9,4,0.9390243902439024
9,5,0.9518072289156626
10,0,0.9752066115702479
10,1,0.970954356846473
10,2,0.975
10,3,0.9390243902439024
10,4,0.9414225941422594
10,5,0.9421487603305785
