round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9508928571428571
1,1,0.9479166666666666
1,2,0.34873323397913564
1,3,0.35171385991058124
1,4,0.3303437967115097
1,5,0.35074626865671643
2,0,0.9508928571428571
2,1,0.9508928571428571
2,2,0.37668161434977576
2,3,0.375186846038864
2,4,0.37631184407796103
2,5,0.37668161434977576
3,0,0.9494047619047619
3,1,0.9494047619047619
3,2,0.3993993993993994
3,3,0.4009009009009009
3,4,0.4032983508245877
3,5,0.3997005988023952
4,0,0.9568452380952381
4,1,0.9508928571428571
4,2,0.4180451127819549
4,3,0.4180451127819549
4,4,0.4255639097744361
4,5,0.4219219219219219
5,0,0.9568452380952381
5,1,0.9523809523809523
5,2,0.4352409638554217
5,3,0.43288084464555054
5,4,0.42900302114803623
5,5,0.43137254901960786
6,0,0.9568452380952381
6,1,0.9537313432835821
6,2,0.4425981873111782
6,3,0.443267776096823
6,4,0.44108761329305135
6,5,0.4419306184012066
7,0,0.9567809239940388
7,1,0.9537313432835821
7,2,0.4501510574018127
7,3,0.4508320726172466
7,4,0.45317220543806647
7,5,0.4471299093655589
8,0,0.9597615499254843
8,1,0.9552238805970149
8,2,0.4561933534743202
8,3,0.4568835098335855
8,4,0.453030303030303
8,5,0.46515151515151515
9,0,0.9597615499254843
9,1,0.9537313432835821
9,2,0.4666666666666667
9,3,0.46504559270516715
9,4,0.4666666666666667
9,5,0.46412213740458014
10,0,0.9582089552238806
10,1,0.953662182361734
10,2,0.4726443768996961
10,3,0.4703196347031963
10,4,0.4756838905775076
10,5,0.47480916030534354
