round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9642857142857143
1,1,0.9434523809523809
1,2,0.6190476190476191
1,3,0.5773809523809523
1,4,0.5744047619047619
1,5,0.5654761904761905
2,0,0.9642857142857143
2,1,0.9434523809523809
2,2,0.7648809523809523
2,3,0.7559523809523809
2,4,0.7619047619047619
2,5,0.7678571428571429
3,0,0.9642857142857143
3,1,0.9464285714285714
3,2,0.8273809523809523
3,3,0.8125
3,4,0.8154761904761905
3,5,0.8214285714285714
4,0,0.9642857142857143
4,1,0.9434523809523809
4,2,0.8452380952380952
4,3,0.8482142857142857
4,4,0.8392857142857143
4,5,0.8482142857142857
5,0,0.9613095238095238
5,1,0.9553571428571429
5,2,0.8507462686567164
5,3,0.8571428571428571
5,4,0.8601190476190477
5,5,0.8630952380952381
6,0,0.9611940298507463
6,1,0.9492537313432836
6,2,0.8626865671641791
6,3,0.8686567164179104
6,4,0.8626865671641791
6,5,0.8656716417910447
7,0,0.9610778443113772
7,1,0.9486404833836858
7,2,0.8622754491017964
7,3,0.8674698795180723
7,4,0.8734939759036144
7,5,0.8640483383685801
8,0,0.9603658536585366
8,1,0.9507692307692308
8,2,0.8658536585365854
8,3,0.8689024390243902
8,4,0.8619631901840491
8,5,0.8769230769230769
9,0,0.9654088050314465
9,1,0.9514563106796117
9,2,0.8722741433021807
9,3,0.8757961783439491
9,4,0.8821656050955414
9,5,0.877742946708464
10,0,0.9605263157894737
10,1,0.9496644295302014
10,2,0.868421052631579
10,3,0.8848684210526315
10,4,0.87248322147651
10,5,0.8821548821548821
