round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9345238095238095
1,1,0.8690476190476191
1,2,0.2976190476190476
1,3,0.33630952380952384
1,4,0.3869047619047619
1,5,0.3005952380952381
2,0,0.9077380952380952
2,1,0.9017857142857143
2,2,0.3869047619047619
2,3,0.39880952380952384
2,4,0.39880952380952384
2,5,0.3958333333333333
3,0,0.9107142857142857
3,1,0.8958333333333334
3,2,0.42857142857142855
3,3,0.4255952380952381
3,4,0.4226190476190476
3,5,0.41964285714285715
4,0,0.9077380952380952
4,1,0.8988095238095238
4,2,0.44047619047619047
4,3,0.44345238095238093
4,4,0.44047619047619047
4,5,0.44047619047619047
5,0,0.9077380952380952
5,1,0.8988095238095238
5,2,0.4523809523809524
5,3,0.4494047619047619
5,4,0.45535714285714285
5,5,0.44642857142857145
6,0,0.9077380952380952
6,1,0.8988095238095238
6,2,0.4523809523809524
6,3,0.4642857142857143
6,4,0.4494047619047619
6,5,0.4583333333333333
7,0,0.9077380952380952
7,1,0.8958333333333334
7,2,0.4642857142857143
7,3,0.4523809523809524
7,4,0.4642857142857143
7,5,0.4523809523809524
8,0,0.9077380952380952
8,1,0.9017857142857143
8,2,0.4583333333333333
8,3,0.46130952380952384
8,4,0.4523809523809524
8,5,0.4642857142857143
9,0,0.9077380952380952
9,1,0.9047619047619048
9,2,0.46130952380952384
9,3,0.45535714285714285
9,4,0.4642857142857143
9,5,0.4523809523809524
10,0,0.9107142857142857
10,1,0.9069069069069069
10,2,0.4583333333333333
10,3,0.46130952380952384
10,4,0.4523809523809524
10,5,0.4642857142857143
