round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9767441860465116
1,1,0.9494163424124513
1,2,0.4671814671814672
1,3,0.4474708171206226
1,4,0.46332046332046334
1,5,0.43243243243243246
2,0,0.97265625
2,1,0.94921875
2,2,0.6627450980392157
2,3,0.6186770428015564
2,4,0.642023346303502
2,5,0.622568093385214
3,0,0.9647058823529412
3,1,0.9529411764705882
3,2,0.7047244094488189
3,3,0.7154150197628458
3,4,0.7007874015748031
3,5,0.71875
4,0,0.9603174603174603
4,1,0.948
4,2,0.748
4,3,0.7370517928286853
4,4,0.7349397590361446
4,5,0.753968253968254
5,0,0.9718875502008032
5,1,0.9549180327868853
5,2,0.7459016393442623
5,3,0.751004016064257
5,4,0.7408906882591093
5,5,0.7428571428571429
6,0,0.9588477366255144
6,1,0.9547325102880658
6,2,0.7551867219917012
6,3,0.743801652892562
6,4,0.7782426778242678
6,5,0.7520661157024794
7,0,0.9531914893617022
7,1,0.957983193277311
7,2,0.7844827586206896
7,3,0.7773109243697479
7,4,0.7617021276595745
7,5,0.7702127659574468
8,0,0.9655172413793104
8,1,0.9576271186440678
8,2,0.7608695652173914
8,3,0.7705627705627706
8,4,0.7835497835497836
8,5,0.7807017543859649
9,0,0.9598214285714286
9,1,0.96
9,2,0.7892376681614349
9,3,0.7737556561085973
9,4,0.7657657657657657
9,5,0.776255707762557
10,0,0.9622641509433962
10,1,0.9577464788732394
10,2,0.7582938388625592
10,3,0.7735849056603774
10,4,0.7914691943127962
10,5,0.7884615384615384
