round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9691235059760956
1,1,0.28931451612903225
1,2,0.2891566265060241
1,3,0.29417670682730923
1,4,0.2887323943661972
1,5,0.2901606425702811
2,0,0.967032967032967
2,1,0.3033367037411527
2,2,0.2966700302724521
2,3,0.2980866062437059
2,4,0.3022312373225152
2,5,0.296969696969697
3,0,0.9638009049773756
3,1,0.29738058551617874
3,2,0.2962962962962963
3,3,0.2996941896024465
3,4,0.2942989214175655
3,5,0.29121725731895226
4,0,0.9652042360060514
4,1,0.2961240310077519
4,2,0.29704510108864696
4,3,0.3030769230769231
4,4,0.2981366459627329
4,5,0.2978395061728395
5,0,0.9665144596651446
5,1,0.30265210608424337
5,2,0.3037383177570093
5,3,0.30745341614906835
5,4,0.29797191887675506
5,5,0.29876160990712075
6,0,0.9664634146341463
6,1,0.3051643192488263
6,2,0.3073322932917317
6,3,0.30793157076205285
6,4,0.3082942097026604
6,5,0.30577223088923555
7,0,0.9693721286370597
7,1,0.31347962382445144
7,2,0.3114241001564945
7,3,0.3146417445482866
7,4,0.31446540880503143
7,5,0.31045241809672386
8,0,0.9676923076923077
8,1,0.3160377358490566
8,2,0.3160377358490566
8,3,0.315541601255887
8,4,0.314873417721519
8,5,0.315625
9,0,0.9721362229102167
9,1,0.3186119873817035
9,2,0.31968503937007875
9,3,0.32125984251968503
9,4,0.3180379746835443
9,5,0.3139717425431711
10,0,0.9690402476780186
10,1,0.32222222222222224
10,2,0.32385466034755134
10,3,0.3212025316455696
10,4,0.32171156893819336
10,5,0.3217665615141956
