round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9175824175824175
1,1,0.25274725274725274
1,2,0.25824175824175827
1,3,0.26229508196721313
1,4,0.26229508196721313
1,5,0.25274725274725274
2,0,0.9230769230769231
2,1,0.26373626373626374
2,2,0.2596685082872928
2,3,0.25824175824175827
2,4,0.26373626373626374
2,5,0.26373626373626374
3,0,0.9392265193370166
3,1,0.26519337016574585
3,2,0.26666666666666666
3,3,0.26519337016574585
3,4,0.27071823204419887
3,5,0.26519337016574585
4,0,0.9337016574585635
4,1,0.2722222222222222
4,2,0.2722222222222222
4,3,0.27071823204419887
4,4,0.26519337016574585
4,5,0.27071823204419887
5,0,0.9392265193370166
5,1,0.2722222222222222
5,2,0.2722222222222222
5,3,0.2722222222222222
5,4,0.2722222222222222
5,5,0.27071823204419887
6,0,0.9392265193370166
6,1,0.2722222222222222
6,2,0.2722222222222222
6,3,0.2722222222222222
6,4,0.2722222222222222
6,5,0.2722222222222222
7,0,0.9392265193370166
7,1,0.2722222222222222
7,2,0.2722222222222222
7,3,0.2722222222222222
7,4,0.2722222222222222
7,5,0.2722222222222222
8,0,0.9337016574585635
8,1,0.2696629213483146
8,2,0.2722222222222222
8,3,0.2722222222222222
8,4,0.2722222222222222
8,5,0.2737430167597765
9,0,0.9337016574585635
9,1,0.2727272727272727
9,2,0.2752808988764045
9,3,0.2681564245810056
9,4,0.2696629213483146
9,5,0.2737430167597765
10,0,0.9337016574585635
10,1,0.26857142857142857
10,2,0.2711864406779661
10,3,0.2696629213483146
10,4,0.2727272727272727
10,5,0.2727272727272727
