round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9077380952380952
1,1,0.27976190476190477
1,2,0.3005952380952381
1,3,0.3005952380952381
1,4,0.29464285714285715
1,5,0.29464285714285715
2,0,0.8630952380952381
2,1,0.29850746268656714
2,2,0.30654761904761907
2,3,0.30357142857142855
2,4,0.30357142857142855
2,5,0.3125
3,0,0.8511904761904762
3,1,0.3074626865671642
3,2,0.30654761904761907
3,3,0.31845238095238093
3,4,0.3125
3,5,0.30357142857142855
4,0,0.8511904761904762
4,1,0.3194029850746269
4,2,0.3244047619047619
4,3,0.31547619047619047
4,4,0.31845238095238093
4,5,0.3244047619047619
5,0,0.8482142857142857
5,1,0.3283582089552239
5,2,0.3273809523809524
5,3,0.3333333333333333
5,4,0.33035714285714285
5,5,0.3273809523809524
6,0,0.8422619047619048
6,1,0.33134328358208953
6,2,0.33630952380952384
6,3,0.33630952380952384
6,4,0.33630952380952384
6,5,0.33630952380952384
7,0,0.8333333333333334
7,1,0.33432835820895523
7,2,0.33630952380952384
7,3,0.33432835820895523
7,4,0.33630952380952384
7,5,0.33630952380952384
8,0,0.8273809523809523
8,1,0.3323353293413174
8,2,0.33432835820895523
8,3,0.33432835820895523
8,4,0.33432835820895523
8,5,0.33630952380952384
9,0,0.8214285714285714
9,1,0.3323353293413174
9,2,0.33432835820895523
9,3,0.33432835820895523
9,4,0.33432835820895523
9,5,0.33630952380952384
10,0,0.8208955223880597
10,1,0.3323353293413174
10,2,0.33432835820895523
10,3,0.33432835820895523
10,4,0.33432835820895523
10,5,0.33630952380952384
