round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9583333333333334
1,1,0.3601190476190476
1,2,0.3869047619047619
1,3,0.3869047619047619
1,4,0.37797619047619047
1,5,0.36904761904761907
2,0,0.9285714285714286
2,1,0.44047619047619047
2,2,0.4583333333333333
2,3,0.45535714285714285
2,4,0.46865671641791046
2,5,0.4642857142857143
3,0,0.9136904761904762
3,1,0.49850746268656715
3,2,0.49702380952380953
3,3,0.5148809523809523
3,4,0.49101796407185627
3,5,0.5014925373134328
4,0,0.9131736526946108
4,1,0.5195195195195195
4,2,0.5359281437125748
4,3,0.5329341317365269
4,4,0.5495495495495496
4,5,0.5179640718562875
5,0,0.9159159159159159
5,1,0.5572289156626506
5,2,0.5649546827794562
5,3,0.5753012048192772
5,4,0.5515151515151515
5,5,0.5512048192771084
6,0,0.8975903614457831
6,1,0.5813253012048193
6,2,0.56797583081571
6,3,0.5800604229607251
6,4,0.5896656534954408
6,5,0.5843373493975904
7,0,0.9123867069486404
7,1,0.5921450151057401
7,2,0.593939393939394
7,3,0.6036585365853658
7,4,0.5902140672782875
7,5,0.5891238670694864
8,0,0.9176829268292683
8,1,0.6061538461538462
8,2,0.5969230769230769
8,3,0.5969230769230769
8,4,0.6006191950464397
8,5,0.5938461538461538
9,0,0.921875
9,1,0.5924764890282131
9,2,0.6137071651090342
9,3,0.6056782334384858
9,4,0.603125
9,5,0.596875
10,0,0.9225806451612903
10,1,0.6141479099678456
10,2,0.6064516129032258
10,3,0.6171617161716172
10,4,0.6111111111111112
10,5,0.6213592233009708
