round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9464285714285714
1,1,0.2708333333333333
1,2,0.2648809523809524
1,3,0.25595238095238093
1,4,0.2648809523809524
1,5,0.27976190476190477
2,0,0.9494047619047619
2,1,0.2767857142857143
2,2,0.28273809523809523
2,3,0.2767857142857143
2,4,0.27976190476190477
2,5,0.27976190476190477
3,0,0.9464285714285714
3,1,0.2916666666666667
3,2,0.2976190476190476
3,3,0.30357142857142855
3,4,0.2976190476190476
3,5,0.28869047619047616
4,0,0.9464285714285714
4,1,0.3005952380952381
4,2,0.30952380952380953
4,3,0.3125
4,4,0.3125
4,5,0.2976190476190476
5,0,0.9464285714285714
5,1,0.3125
5,2,0.3125
5,3,0.3125
5,4,0.3125
5,5,0.30952380952380953
6,0,0.9464285714285714
6,1,0.3125
6,2,0.31547619047619047
6,3,0.31547619047619047
6,4,0.31845238095238093
6,5,0.31547619047619047
7,0,0.9464285714285714
7,1,0.31845238095238093
7,2,0.32142857142857145
7,3,0.32142857142857145
7,4,0.31845238095238093
7,5,0.32142857142857145
8,0,0.9434523809523809
8,1,0.3244047619047619
8,2,0.33035714285714285
8,3,0.33630952380952384
8,4,0.33035714285714285
8,5,0.33035714285714285
9,0,0.9404761904761905
9,1,0.3333333333333333
9,2,0.33630952380952384
9,3,0.33630952380952384
9,4,0.33630952380952384
9,5,0.3333333333333333
10,0,0.9315476190476191
10,1,0.3333333333333333
10,2,0.3333333333333333
10,3,0.3333333333333333
10,4,0.3333333333333333
10,5,0.3333333333333333
