round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9166666666666666
1,1,0.2857142857142857
1,2,0.2857142857142857
1,3,0.2767857142857143
1,4,0.27380952380952384
1,5,0.2767857142857143
2,0,0.8958333333333334
2,1,0.28273809523809523
2,2,0.2916666666666667
2,3,0.2857142857142857
2,4,0.29253731343283584
2,5,0.2835820895522388
3,0,0.8869047619047619
3,1,0.29850746268656714
3,2,0.28869047619047616
3,3,0.29464285714285715
3,4,0.28955223880597014
3,5,0.2904191616766467
4,0,0.8839285714285714
4,1,0.2882882882882883
4,2,0.30149253731343284
4,3,0.29464285714285715
4,4,0.2904191616766467
4,5,0.2934131736526946
5,0,0.8779761904761905
5,1,0.2912912912912913
5,2,0.2955223880597015
5,3,0.3005952380952381
5,4,0.2934131736526946
5,5,0.2964071856287425
6,0,0.875
6,1,0.29429429429429427
6,2,0.29850746268656714
6,3,0.2976190476190476
6,4,0.2994011976047904
6,5,0.2934131736526946
7,0,0.875
7,1,0.2912912912912913
7,2,0.29850746268656714
7,3,0.30357142857142855
7,4,0.2934131736526946
7,5,0.2994011976047904
8,0,0.8720238095238095
8,1,0.29429429429429427
8,2,0.3044776119402985
8,3,0.2976190476190476
8,4,0.3023952095808383
8,5,0.2964071856287425
9,0,0.8720238095238095
9,1,0.3033033033033033
9,2,0.3023952095808383
9,3,0.30654761904761907
9,4,0.2994011976047904
9,5,0.30538922155688625
10,0,0.8690476190476191
10,1,0.3003003003003003
10,2,0.30538922155688625
10,3,0.30654761904761907
10,4,0.3033033033033033
10,5,0.3023952095808383
