round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9384615384615385
1,1,0.32432432432432434
1,2,0.3281853281853282
1,3,0.32432432432432434
1,4,0.33976833976833976
1,5,0.3281853281853282
2,0,0.8725868725868726
2,1,0.33976833976833976
2,2,0.33976833976833976
2,3,0.3359073359073359
2,4,0.3436293436293436
2,5,0.34108527131782945
3,0,0.8372093023255814
3,1,0.3488372093023256
3,2,0.3643410852713178
3,3,0.35271317829457366
3,4,0.3552123552123552
3,5,0.34375
4,0,0.8326848249027238
4,1,0.3657587548638132
4,2,0.36046511627906974
4,3,0.3657587548638132
4,4,0.3682170542635659
4,5,0.3543307086614173
5,0,0.8203125
5,1,0.375
5,2,0.3843137254901961
5,3,0.3764705882352941
5,4,0.375
5,5,0.35714285714285715
6,0,0.8326693227091634
6,1,0.38976377952755903
6,2,0.383399209486166
6,3,0.3937007874015748
6,4,0.3858267716535433
6,5,0.3904382470119522
7,0,0.8225806451612904
7,1,0.3895582329317269
7,2,0.39357429718875503
7,3,0.3968253968253968
7,4,0.39271255060728744
7,5,0.3911290322580645
8,0,0.823045267489712
8,1,0.40725806451612906
8,2,0.3983739837398374
8,3,0.4146341463414634
8,4,0.401673640167364
8,5,0.4149377593360996
9,0,0.8333333333333334
9,1,0.4024896265560166
9,2,0.3974358974358974
9,3,0.40336134453781514
9,4,0.41228070175438597
9,5,0.4043478260869565
10,0,0.8285714285714286
10,1,0.39814814814814814
10,2,0.39436619718309857
10,3,0.4147465437788018
10,4,0.411214953271028
10,5,0.4009433962264151
