round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
1,0,0.281437125748503
1,1,0.2598187311178248
1,2,0.2672672672672673
1,3,0.2620481927710843
1,4,0.2680722891566265
1,5,0.26426426426426425
1,6,0.2634730538922156
1,7,0.28012048192771083
1,8,0.2696969696969697
1,9,0.27492447129909364
2,0,0.2701863354037267
2,1,0.2782874617737003
2,2,0.2787878787878788
2,3,0.27794561933534745
2,4,0.2809667673716012
2,5,0.2727272727272727
2,6,0.27794561933534745
2,7,0.28353658536585363
2,8,0.2796352583586626
2,9,0.2765957446808511
3,0,0.2830188679245283
3,1,0.2721518987341772
3,2,0.26791277258566976
3,3,0.27102803738317754
3,4,0.26791277258566976
3,5,0.26479750778816197
3,6,0.2664576802507837
3,7,0.27102803738317754
3,8,0.2732919254658385
3,9,0.265625
4,0,0.26666666666666666
4,1,0.2797427652733119
4,2,0.279874213836478
4,3,0.27899686520376177
4,4,0.277602523659306
4,5,0.277602523659306
4,6,0.28164556962025317
4,7,0.2857142857142857
4,8,0.2807570977917981
4,9,0.28253968253968254
5,0,0.28115015974440893
5,1,0.267741935483871
5,2,0.2698412698412698
5,3,0.26666666666666666
5,4,0.26666666666666666
5,5,0.26517571884984026
5,6,0.266025641025641
5,7,0.2692307692307692
5,8,0.26517571884984026
5,9,0.2692307692307692
6,0,0.27009646302250806
6,1,0.28104575163398693
6,2,0.27884615384615385
6,3,0.28115015974440893
6,4,0.27884615384615385
6,5,0.2797427652733119
6,6,0.2797427652733119
6,7,0.2857142857142857
6,8,0.27741935483870966
6,9,0.2829581993569132
7,0,0.2792207792207792
7,1,0.26973684210526316
7,2,0.2783171521035599
7,3,0.27009646302250806
7,4,0.2686084142394822
7,5,0.2703583061889251
7,6,0.2694805194805195
7,7,0.2721311475409836
7,8,0.2694805194805195
7,9,0.2750809061488673
8,0,0.26644736842105265
8,1,0.27666666666666667
8,2,0.28338762214983715
8,3,0.2824675324675325
8,4,0.28338762214983715
8,5,0.28289473684210525
8,6,0.2786885245901639
8,7,0.2838283828382838
8,8,0.2777777777777778
8,9,0.2819672131147541
9,0,0.2833333333333333
9,1,0.2702702702702703
9,2,0.2682119205298013
9,3,0.2682119205298013
9,4,0.26644736842105265
9,5,0.27
9,6,0.27
9,7,0.27181208053691275
9,8,0.26732673267326734
9,9,0.27
10,0,0.2709030100334448
10,1,0.2891156462585034
10,2,0.28523489932885904
10,3,0.28523489932885904
10,4,0.2833333333333333
10,5,0.28378378378378377
10,6,0.2828282828282828
10,7,0.2847457627118644
10,8,0.2842809364548495
10,9,0.28523489932885904
