round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
1,0,0.9602446483180428
1,1,0.3888888888888889
1,2,0.38580246913580246
1,3,0.3987730061349693
1,4,0.38153846153846155
1,5,0.39197530864197533
1,6,0.3834355828220859
1,7,0.38699690402476783
1,8,0.39384615384615385
1,9,0.41975308641975306
2,0,0.96
2,1,0.484472049689441
2,2,0.4783950617283951
2,3,0.49230769230769234
2,4,0.5015479876160991
2,5,0.47987616099071206
2,6,0.48
2,7,0.48757763975155277
2,8,0.4751552795031056
2,9,0.48297213622291024
3,0,0.9473684210526315
3,1,0.5389408099688473
3,2,0.5325077399380805
3,3,0.5479876160990712
3,4,0.5294117647058824
3,5,0.5264797507788161
3,6,0.5248447204968945
3,7,0.5341614906832298
3,8,0.534375
3,9,0.5541795665634675
4,0,0.9411764705882353
4,1,0.559375
4,2,0.544891640866873
4,3,0.5696594427244582
4,4,0.5696594427244582
4,5,0.5482866043613707
4,6,0.573208722741433
4,7,0.5358255451713395
4,8,0.55625
4,9,0.5683229813664596
5,0,0.9411764705882353
5,1,0.5736677115987461
5,2,0.573208722741433
5,3,0.5981308411214953
5,4,0.5794392523364486
5,5,0.5642633228840125
5,6,0.56875
5,7,0.5628930817610063
5,8,0.5723270440251572
5,9,0.584375
6,0,0.9411764705882353
6,1,0.6006389776357828
6,2,0.557632398753894
6,3,0.5987460815047022
6,4,0.5949367088607594
6,5,0.5968253968253968
6,6,0.5841269841269842
6,7,0.5668789808917197
6,8,0.5814696485623003
6,9,0.5772870662460567
7,0,0.9442724458204335
7,1,0.5980707395498392
7,2,0.5856697819314641
7,3,0.6056782334384858
7,4,0.5841269841269842
7,5,0.6057692307692307
7,6,0.5955414012738853
7,7,0.5750798722044729
7,8,0.5792880258899676
7,9,0.6088328075709779
8,0,0.9440993788819876
8,1,0.5935483870967742
8,2,0.584375
8,3,0.6170886075949367
8,4,0.60828025477707
8,5,0.6025641025641025
8,6,0.5993589743589743
8,7,0.6019417475728155
8,8,0.5825242718446602
8,9,0.6129032258064516
9,0,0.9439252336448598
9,1,0.6123778501628665
9,2,0.59375
9,3,0.6050955414012739
9,4,0.5833333333333334
9,5,0.6019417475728155
9,6,0.6129032258064516
9,7,0.5954692556634305
9,8,0.564935064935065
9,9,0.5909090909090909
10,0,0.9433962264150944
10,1,0.6091205211726385
10,2,0.590625
10,3,0.6057692307692307
10,4,0.5980707395498392
10,5,0.6006493506493507
10,6,0.5941558441558441
10,7,0.5934426229508196
10,8,0.5901639344262295
10,9,0.5907590759075908
