round,agent,infected_prob
0,0,0.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
1,0,0.27976190476190477
1,1,0.9434523809523809
1,2,0.2672672672672673
1,3,0.2702702702702703
1,4,0.2835820895522388
1,5,0.2694610778443114
1,6,0.2732732732732733
1,7,0.28012048192771083
1,8,0.27627627627627627
1,9,0.2732732732732733
2,0,0.2740963855421687
2,1,0.9494047619047619
2,2,0.2696969696969697
2,3,0.2702702702702703
2,4,0.281437125748503
2,5,0.27245508982035926
2,6,0.2719033232628399
2,7,0.2696969696969697
2,8,0.2822822822822823
2,9,0.2727272727272727
3,0,0.2652439024390244
3,1,0.9492537313432836
3,2,0.27692307692307694
3,3,0.27439024390243905
3,4,0.27134146341463417
3,5,0.2727272727272727
3,6,0.2735562310030395
3,7,0.2652439024390244
3,8,0.270516717325228
3,9,0.26993865030674846
4,0,0.2786377708978328
4,1,0.9462686567164179
4,2,0.26791277258566976
4,3,0.2623456790123457
4,4,0.2732919254658385
4,5,0.2676923076923077
4,6,0.26461538461538464
4,7,0.26791277258566976
4,8,0.2724458204334365
4,9,0.26791277258566976
5,0,0.27044025157232704
5,1,0.9492537313432836
5,2,0.27936507936507937
5,3,0.27586206896551724
5,4,0.279874213836478
5,5,0.28125
5,6,0.2834890965732087
5,7,0.2779552715654952
5,8,0.2807570977917981
5,9,0.27129337539432175
6,0,0.2807570977917981
6,1,0.9492537313432836
6,2,0.2709677419354839
6,3,0.2634920634920635
6,4,0.2721518987341772
6,5,0.2698412698412698
6,6,0.27129337539432175
6,7,0.27184466019417475
6,8,0.2692307692307692
6,9,0.266025641025641
7,0,0.267515923566879
7,1,0.9492537313432836
7,2,0.284789644012945
7,3,0.27936507936507937
7,4,0.28753993610223644
7,5,0.28115015974440893
7,6,0.28846153846153844
7,7,0.28338762214983715
7,8,0.27741935483870966
7,9,0.2797427652733119
8,0,0.2733118971061093
8,1,0.9492537313432836
8,2,0.2754098360655738
8,3,0.266025641025641
8,4,0.2733118971061093
8,5,0.267741935483871
8,6,0.2709677419354839
8,7,0.2739273927392739
8,8,0.2727272727272727
8,9,0.2686084142394822
9,0,0.26129032258064516
9,1,0.9492537313432836
9,2,0.27960526315789475
9,3,0.27419354838709675
9,4,0.2750809061488673
9,5,0.2768729641693811
9,6,0.275974025974026
9,7,0.27906976744186046
9,8,0.27631578947368424
9,9,0.2703583061889251
10,0,0.2694805194805195
10,1,0.9492537313432836
10,2,0.2682119205298013
10,3,0.26129032258064516
10,4,0.2662337662337662
10,5,0.26229508196721313
10,6,0.2647058823529412
10,7,0.27
10,8,0.26732673267326734
10,9,0.2647058823529412
