round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.2976190476190476
1,1,0.3005952380952381
1,2,0.2976190476190476
1,3,0.30654761904761907
1,4,0.30952380952380953
1,5,0.30357142857142855
2,0,0.30357142857142855
2,1,0.30357142857142855
2,2,0.2976190476190476
2,3,0.2916666666666667
2,4,0.30357142857142855
2,5,0.3005952380952381
3,0,0.3005952380952381
3,1,0.3125
3,2,0.30654761904761907
3,3,0.30357142857142855
3,4,0.3005952380952381
3,5,0.30357142857142855
4,0,0.30654761904761907
4,1,0.30654761904761907
4,2,0.2976190476190476
4,3,0.30357142857142855
4,4,0.3005952380952381
4,5,0.30357142857142855
5,0,0.30654761904761907
5,1,0.30952380952380953
5,2,0.30357142857142855
5,3,0.3125
5,4,0.30654761904761907
5,5,0.30357142857142855
6,0,0.30357142857142855
6,1,0.30357142857142855
6,2,0.2976190476190476
6,3,0.30654761904761907
6,4,0.30952380952380953
6,5,0.30654761904761907
7,0,0.3005952380952381
7,1,0.30357142857142855
7,2,0.30357142857142855
7,3,0.30654761904761907
7,4,0.3005952380952381
7,5,0.30357142857142855
8,0,0.3005952380952381
8,1,0.3005952380952381
8,2,0.3005952380952381
8,3,0.2976190476190476
8,4,0.3005952380952381
8,5,0.3005952380952381
9,0,0.30357142857142855
9,1,0.30654761904761907
9,2,0.30654761904761907
9,3,0.30654761904761907
9,4,0.3005952380952381
9,5,0.30654761904761907
10,0,0.30654761904761907
10,1,0.30654761904761907
10,2,0.30654761904761907
10,3,0.3005952380952381
10,4,0.30357142857142855
10,5,0.30654761904761907
