round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.2746268656716418
1,1,0.281437125748503
1,2,0.28273809523809523
1,3,0.27761194029850744
1,4,0.27761194029850744
1,5,0.2746268656716418
2,0,0.28484848484848485
2,1,0.2710843373493976
2,2,0.2746268656716418
2,3,0.2740963855421687
2,4,0.2732732732732733
2,5,0.2688821752265861
3,0,0.27607361963190186
3,1,0.2826747720364742
3,2,0.28484848484848485
3,3,0.28134556574923547
3,4,0.2857142857142857
3,5,0.2822085889570552
4,0,0.28307692307692306
4,1,0.27692307692307694
4,2,0.27692307692307694
4,3,0.27414330218068533
4,4,0.27384615384615385
4,5,0.2732919254658385
5,0,0.27639751552795033
5,1,0.28173374613003094
5,2,0.2839506172839506
5,3,0.279874213836478
5,4,0.28
5,5,0.2834890965732087
6,0,0.2861635220125786
6,1,0.28125
6,2,0.27586206896551724
6,3,0.2779552715654952
6,4,0.27639751552795033
6,5,0.27586206896551724
7,0,0.27848101265822783
7,1,0.2879746835443038
7,2,0.28391167192429023
7,3,0.2829581993569132
7,4,0.2870662460567823
7,5,0.2857142857142857
8,0,0.28434504792332266
8,1,0.28205128205128205
8,2,0.27848101265822783
8,3,0.275974025974026
8,4,0.2802547770700637
8,5,0.2779552715654952
9,0,0.2815533980582524
9,1,0.28802588996763756
9,2,0.28434504792332266
9,3,0.28431372549019607
9,4,0.28525641025641024
9,5,0.2838709677419355
10,0,0.2899022801302932
10,1,0.2792207792207792
10,2,0.2806451612903226
10,3,0.27960526315789475
10,4,0.2815533980582524
10,5,0.28104575163398693
