round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.30062305295950154
1,1,0.29577464788732394
1,2,0.2962382445141066
1,3,0.30109204368174725
1,4,0.29780564263322884
1,5,0.29874213836477986
2,0,0.29906542056074764
2,1,0.29513343799058084
2,2,0.2946708463949843
2,3,0.3018867924528302
2,4,0.300314465408805
2,5,0.2996845425867508
3,0,0.29906542056074764
3,1,0.29559748427672955
3,2,0.29513343799058084
3,3,0.2992125984251969
3,4,0.300314465408805
3,5,0.3001579778830964
4,0,0.29906542056074764
4,1,0.29559748427672955
4,2,0.29606299212598425
4,3,0.2992125984251969
4,4,0.30078740157480316
4,5,0.2990506329113924
5,0,0.29906542056074764
5,1,0.29652996845425866
5,2,0.29606299212598425
5,3,0.29763779527559053
5,4,0.2996845425867508
5,5,0.2988871224165342
6,0,0.29906542056074764
6,1,0.2981072555205047
6,2,0.29652996845425866
6,3,0.29952456418383516
6,4,0.29952456418383516
6,5,0.3001605136436597
7,0,0.2995319812792512
7,1,0.2979397781299525
7,2,0.296998420221169
7,3,0.3004769475357711
7,4,0.2971246006389776
7,5,0.2995169082125604
8,0,0.2993730407523511
8,1,0.2979397781299525
8,2,0.2974683544303797
8,3,0.3024
8,4,0.2980769230769231
8,5,0.30048465266558966
9,0,0.2993730407523511
9,1,0.2979397781299525
9,2,0.2979397781299525
9,3,0.3024
9,4,0.2985553772070626
9,5,0.3008130081300813
10,0,0.29984301412872844
10,1,0.2982456140350877
10,2,0.2972972972972973
10,3,0.30337078651685395
10,4,0.2988691437802908
10,5,0.300163132137031
