round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9462686567164179
1,1,0.9553571428571429
1,2,0.5970149253731343
1,3,0.6358208955223881
1,4,0.6268656716417911
1,5,0.6216216216216216
2,0,0.9611940298507463
2,1,0.9607250755287009
2,2,0.7794561933534743
2,3,0.755223880597015
2,4,0.7447447447447447
2,5,0.7613293051359517
3,0,0.9611940298507463
3,1,0.9606060606060606
3,2,0.7689969604863222
3,3,0.7951807228915663
3,4,0.7740963855421686
3,5,0.801829268292683
4,0,0.9666666666666667
4,1,0.9601226993865031
4,2,0.7926829268292683
4,3,0.8073394495412844
4,4,0.7839506172839507
4,5,0.8173374613003096
5,0,0.9596273291925466
5,1,0.9654088050314465
5,2,0.8105590062111802
5,3,0.8233438485804416
5,4,0.8012618296529969
5,5,0.789308176100629
6,0,0.9615384615384616
6,1,0.9650793650793651
6,2,0.8354430379746836
6,3,0.8398692810457516
6,4,0.803921568627451
6,5,0.8241042345276873
7,0,0.966996699669967
7,1,0.9636963696369637
7,2,0.8262295081967214
7,3,0.8093645484949833
7,4,0.83
7,5,0.8278145695364238
8,0,0.9618055555555556
8,1,0.9587628865979382
8,2,0.8241379310344827
8,3,0.8275862068965517
8,4,0.8368055555555556
8,5,0.8090277777777778
9,0,0.9644128113879004
9,1,0.9633699633699634
9,2,0.8560885608856088
9,3,0.849624060150376
9,4,0.8222222222222222
9,5,0.8467432950191571
10,0,0.9715447154471545
10,1,0.963265306122449
10,2,0.8109243697478992
10,3,0.8425531914893617
10,4,0.825
10,5,0.8448275862068966
