round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9017857142857143
1,1,0.9702380952380952
1,2,0.41964285714285715
1,3,0.4166666666666667
1,4,0.4642857142857143
1,5,0.4255952380952381
2,0,0.9226190476190477
2,1,0.9494047619047619
2,2,0.5060606060606061
2,3,0.5045045045045045
2,4,0.5285285285285285
2,5,0.5044776119402985
3,0,0.9166666666666666
3,1,0.9553571428571429
3,2,0.574468085106383
3,3,0.5606060606060606
3,4,0.5765765765765766
3,5,0.5598802395209581
4,0,0.9196428571428571
4,1,0.9523809523809523
4,2,0.6128048780487805
4,3,0.5853658536585366
4,4,0.5969696969696969
4,5,0.5945945945945946
5,0,0.9226190476190477
5,1,0.9523809523809523
5,2,0.6349693251533742
5,3,0.6123076923076923
5,4,0.6303030303030303
5,5,0.622356495468278
6,0,0.9226190476190477
6,1,0.9523809523809523
6,2,0.6461538461538462
6,3,0.6276923076923077
6,4,0.6333333333333333
6,5,0.6465256797583081
7,0,0.9255952380952381
7,1,0.9523809523809523
7,2,0.6604938271604939
7,3,0.6358024691358025
7,4,0.6554878048780488
7,5,0.6545454545454545
8,0,0.9255952380952381
8,1,0.9523809523809523
8,2,0.6666666666666666
8,3,0.6388888888888888
8,4,0.6625766871165644
8,5,0.662613981762918
9,0,0.9255952380952381
9,1,0.9523809523809523
9,2,0.6604938271604939
9,3,0.654320987654321
9,4,0.6666666666666666
9,5,0.6717325227963525
10,0,0.9281437125748503
10,1,0.9522388059701492
10,2,0.6656346749226006
10,3,0.6574074074074074
10,4,0.6687306501547987
10,5,0.6808510638297872
