round,agent,infected_prob
0,0,1.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9652509652509652
1,1,0.9651162790697675
1,2,0.5115384615384615
1,3,0.555984555984556
1,4,0.5769230769230769
1,5,0.5653846153846154
2,0,0.9612403100775194
2,1,0.9651162790697675
2,2,0.6884615384615385
2,3,0.7209302325581395
2,4,0.7115384615384616
2,5,0.676923076923077
3,0,0.9571984435797666
3,1,0.9647058823529412
3,2,0.708171206225681
3,3,0.7131782945736435
3,4,0.7142857142857143
3,5,0.6937984496124031
4,0,0.9484126984126984
4,1,0.967741935483871
4,2,0.7391304347826086
4,3,0.75390625
4,4,0.7411764705882353
4,5,0.7165354330708661
5,0,0.9595141700404858
5,1,0.9676113360323887
5,2,0.72
5,3,0.7509881422924901
5,4,0.7222222222222222
5,5,0.716
6,0,0.9504132231404959
6,1,0.9711934156378601
6,2,0.7428571428571429
6,3,0.6882591093117408
6,4,0.726530612244898
6,5,0.7061224489795919
7,0,0.9623430962343096
7,1,0.9708333333333333
7,2,0.7238493723849372
7,3,0.7226890756302521
7,4,0.7426160337552743
7,5,0.7112970711297071
8,0,0.9559471365638766
8,1,0.9692982456140351
8,2,0.7212389380530974
8,3,0.7136563876651982
8,4,0.7477477477477478
8,5,0.7074235807860262
9,0,0.966824644549763
9,1,0.9634703196347032
9,2,0.7155963302752294
9,3,0.7211538461538461
9,4,0.75
9,5,0.719626168224299
10,0,0.9516129032258065
10,1,0.9639175257731959
10,2,0.7078651685393258
10,3,0.6914285714285714
10,4,0.7159090909090909
10,5,0.7222222222222222
