round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,1.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.3142857142857143
1,1,0.3147590361445783
1,2,0.3233082706766917
1,3,0.31070889894419307
1,4,0.3081570996978852
1,5,0.30757575757575756
2,0,0.318796992481203
2,1,0.3117469879518072
2,2,0.32030075187969925
2,3,0.3152337858220211
2,4,0.3157099697885196
2,5,0.30652503793626706
3,0,0.318796992481203
3,1,0.3117469879518072
3,2,0.3218045112781955
3,3,0.3137254901960784
3,4,0.3157099697885196
3,5,0.30804248861911987
4,0,0.318796992481203
4,1,0.3117469879518072
4,2,0.3218045112781955
4,3,0.3137254901960784
4,4,0.3161875945537065
4,5,0.30652503793626706
5,0,0.318796992481203
5,1,0.3102409638554217
5,2,0.32228915662650603
5,3,0.3137254901960784
5,4,0.3146747352496218
5,5,0.30804248861911987
6,0,0.318796992481203
6,1,0.3102409638554217
6,2,0.32228915662650603
6,3,0.31419939577039274
6,4,0.3151515151515151
6,5,0.3095599393019727
7,0,0.318796992481203
7,1,0.30873493975903615
7,2,0.32228915662650603
7,3,0.31419939577039274
7,4,0.3151515151515151
7,5,0.3095599393019727
8,0,0.318796992481203
8,1,0.30873493975903615
8,2,0.32228915662650603
8,3,0.31316187594553707
8,4,0.3151515151515151
8,5,0.3095599393019727
9,0,0.318796992481203
9,1,0.30873493975903615
9,2,0.32228915662650603
9,3,0.31363636363636366
9,4,0.3151515151515151
9,5,0.3105022831050228
10,0,0.31975867269984914
10,1,0.3095599393019727
10,2,0.3221884498480243
10,3,0.3150684931506849
10,4,0.31755725190839695
10,5,0.3123076923076923
