round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.8823529411764706
1,1,0.4823529411764706
1,2,0.5058823529411764
1,3,0.49411764705882355
1,4,0.43529411764705883
1,5,0.4823529411764706
2,0,0.8823529411764706
2,1,0.5647058823529412
2,2,0.5764705882352941
2,3,0.6235294117647059
2,4,0.5529411764705883
2,5,0.5647058823529412
3,0,0.9058823529411765
3,1,0.611764705882353
3,2,0.6
3,3,0.6588235294117647
3,4,0.5764705882352941
3,5,0.5764705882352941
4,0,0.8823529411764706
4,1,0.5647058823529412
4,2,0.5882352941176471
4,3,0.6
4,4,0.5764705882352941
4,5,0.5882352941176471
5,0,0.8941176470588236
5,1,0.611764705882353
5,2,0.6
5,3,0.6470588235294118
5,4,0.6
5,5,0.5529411764705883
