round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9313725490196079
1,1,0.35784313725490197
1,2,0.35294117647058826
1,3,0.3627450980392157
1,4,0.3627450980392157
1,5,0.3333333333333333
2,0,0.946078431372549
2,1,0.4405940594059406
2,2,0.4405940594059406
2,3,0.43137254901960786
2,4,0.43564356435643564
2,5,0.39408866995073893
3,0,0.9362745098039216
3,1,0.49504950495049505
3,2,0.49504950495049505
3,3,0.47549019607843135
3,4,0.4603960396039604
3,5,0.43842364532019706
4,0,0.9362745098039216
4,1,0.5024875621890548
4,2,0.5175879396984925
4,3,0.5
4,4,0.49504950495049505
4,5,0.4630541871921182
5,0,0.9411764705882353
5,1,0.515
5,2,0.5025380710659898
5,3,0.5148514851485149
5,4,0.5148514851485149
5,5,0.4876847290640394
6,0,0.9411764705882353
6,1,0.515
6,2,0.5025641025641026
6,3,0.5247524752475248
6,4,0.5174129353233831
6,5,0.4900990099009901
7,0,0.9411764705882353
7,1,0.53
7,2,0.5128205128205128
7,3,0.5297029702970297
7,4,0.5175879396984925
7,5,0.4900990099009901
8,0,0.9411764705882353
8,1,0.535
8,2,0.5103092783505154
8,3,0.5396039603960396
8,4,0.5177664974619289
8,5,0.48756218905472637
9,0,0.9411764705882353
9,1,0.5202020202020202
9,2,0.5154639175257731
9,3,0.5373134328358209
9,4,0.5255102040816326
9,5,0.48484848484848486
10,0,0.9362745098039216
10,1,0.5252525252525253
10,2,0.5257731958762887
10,3,0.53
10,4,0.5255102040816326
10,5,0.4898989898989899
