round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9345238095238095
1,1,0.408955223880597
1,2,0.4166666666666667
1,3,0.408955223880597
1,4,0.43154761904761907
1,5,0.4166666666666667
2,0,0.9375
2,1,0.5419161676646707
2,2,0.5285285285285285
2,3,0.5329341317365269
2,4,0.5492537313432836
2,5,0.5329341317365269
3,0,0.9375
3,1,0.5813253012048193
3,2,0.5843373493975904
3,3,0.5783132530120482
3,4,0.6047904191616766
3,5,0.5765765765765766
4,0,0.9375
4,1,0.6132930513595166
4,2,0.6151515151515151
4,3,0.6072507552870091
4,4,0.6186186186186187
4,5,0.6036036036036037
5,0,0.9404761904761905
5,1,0.6261398176291794
5,2,0.6413373860182371
5,3,0.6231003039513677
5,4,0.6336336336336337
5,5,0.6204819277108434
6,0,0.9404761904761905
6,1,0.6349693251533742
6,2,0.6474164133738601
6,3,0.6341463414634146
6,4,0.6325301204819277
6,5,0.6253776435045317
7,0,0.9375
7,1,0.6481481481481481
7,2,0.649390243902439
7,3,0.6411042944785276
7,4,0.6465256797583081
7,5,0.6261398176291794
8,0,0.9404761904761905
8,1,0.6521739130434783
8,2,0.649390243902439
8,3,0.6503067484662577
8,4,0.6545454545454545
8,5,0.6402439024390244
9,0,0.9373134328358209
9,1,0.653125
9,2,0.6574923547400612
9,3,0.6411042944785276
9,4,0.6747720364741642
9,5,0.6371951219512195
10,0,0.9373134328358209
10,1,0.6625
10,2,0.6625766871165644
10,3,0.656441717791411
10,4,0.6707317073170732
10,5,0.6422018348623854
