round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9494047619047619
1,1,0.34226190476190477
1,2,0.33630952380952384
1,3,0.34226190476190477
1,4,0.33035714285714285
1,5,0.30654761904761907
2,0,0.9434523809523809
2,1,0.37910447761194027
2,2,0.382089552238806
2,3,0.39520958083832336
2,4,0.375
2,5,0.37202380952380953
3,0,0.9523809523809523
3,1,0.4059701492537313
3,2,0.4208955223880597
3,3,0.437125748502994
3,4,0.4107142857142857
3,5,0.41492537313432837
4,0,0.9464285714285714
4,1,0.4251497005988024
4,2,0.43283582089552236
4,3,0.44144144144144143
4,4,0.43154761904761907
4,5,0.43843843843843844
5,0,0.9523809523809523
5,1,0.43243243243243246
5,2,0.44610778443113774
5,3,0.45045045045045046
5,4,0.44642857142857145
5,5,0.4594594594594595
6,0,0.9523809523809523
6,1,0.4367469879518072
6,2,0.4491017964071856
6,3,0.46546546546546547
6,4,0.4523809523809524
6,5,0.47129909365558914
7,0,0.9523809523809523
7,1,0.4471299093655589
7,2,0.47005988023952094
7,3,0.46846846846846846
7,4,0.4583333333333333
7,5,0.48484848484848486
8,0,0.9523809523809523
8,1,0.44984802431610943
8,2,0.47904191616766467
8,3,0.47289156626506024
8,4,0.47761194029850745
8,5,0.48787878787878786
9,0,0.9523809523809523
9,1,0.4603658536585366
9,2,0.4880239520958084
9,3,0.4819277108433735
9,4,0.4835820895522388
9,5,0.48936170212765956
10,0,0.9523809523809523
10,1,0.46646341463414637
10,2,0.4894894894894895
10,3,0.49096385542168675
10,4,0.4925373134328358
10,5,0.48632218844984804
