round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9476334340382678
1,1,0.43044354838709675
1,2,0.41389728096676737
1,3,0.414387031408308
1,4,0.4242728184553661
1,5,0.42206477732793524
2,0,0.9483282674772037
2,1,0.5490394337714863
2,2,0.5552178318135765
2,3,0.5422177009155646
2,4,0.5428859737638748
2,5,0.5254582484725051
3,0,0.9510204081632653
3,1,0.5832482124616956
3,2,0.5825641025641025
3,3,0.5686475409836066
3,4,0.5902140672782875
3,5,0.5743589743589743
4,0,0.948559670781893
4,1,0.6171310629514963
4,2,0.6020833333333333
4,3,0.6074766355140186
4,4,0.6134020618556701
4,5,0.6028955532574974
5,0,0.9492227979274611
5,1,0.6380753138075314
5,2,0.6261780104712041
5,3,0.6324152542372882
5,4,0.6308654848800834
5,5,0.6234309623430963
6,0,0.9461457233368532
6,1,0.6535181236673774
6,2,0.6459893048128342
6,3,0.6491416309012875
6,4,0.6436170212765957
6,5,0.6442307692307693
7,0,0.9481081081081081
7,1,0.6554347826086957
7,2,0.6652030735455543
7,3,0.6476399560922064
7,4,0.6431670281995662
7,5,0.6524590163934426
8,0,0.9444444444444444
8,1,0.6551339285714286
8,2,0.6707589285714286
8,3,0.6569506726457399
8,4,0.6518847006651884
8,5,0.6513966480446928
9,0,0.9425947187141217
9,1,0.6616800920598389
9,2,0.6685979142526072
9,3,0.6705202312138728
9,4,0.6509758897818599
9,5,0.6728110599078341
10,0,0.9362214199759326
10,1,0.6646706586826348
10,2,0.6706443914081146
10,3,0.6574519230769231
10,4,0.6550898203592814
10,5,0.6566985645933014
