round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9464285714285714
1,1,0.39285714285714285
1,2,0.36607142857142855
1,3,0.3898809523809524
1,4,0.3898809523809524
1,5,0.37797619047619047
2,0,0.9464285714285714
2,1,0.5059523809523809
2,2,0.5
2,3,0.4732142857142857
2,4,0.49702380952380953
2,5,0.4851190476190476
3,0,0.9464285714285714
3,1,0.5416666666666666
3,2,0.5416666666666666
3,3,0.5327380952380952
3,4,0.5446428571428571
3,5,0.5476190476190477
4,0,0.9434523809523809
4,1,0.5982142857142857
4,2,0.5803571428571429
4,3,0.5654761904761905
4,4,0.5952380952380952
4,5,0.5684523809523809
5,0,0.9404761904761905
5,1,0.6309523809523809
5,2,0.5922619047619048
5,3,0.6041666666666666
5,4,0.625
5,5,0.5922619047619048
6,0,0.9375
6,1,0.6339285714285714
6,2,0.6339285714285714
6,3,0.6220238095238095
6,4,0.6309523809523809
6,5,0.6071428571428571
7,0,0.9375
7,1,0.6398809523809523
7,2,0.6517857142857143
7,3,0.625
7,4,0.6339285714285714
7,5,0.6339285714285714
8,0,0.9375
8,1,0.6517857142857143
8,2,0.6547619047619048
8,3,0.6458333333333334
8,4,0.6428571428571429
8,5,0.6279761904761905
9,0,0.9375
9,1,0.6607142857142857
9,2,0.6577380952380952
9,3,0.6547619047619048
9,4,0.6458333333333334
9,5,0.6547619047619048
10,0,0.9375
10,1,0.6577380952380952
10,2,0.6666666666666666
10,3,0.6577380952380952
10,4,0.6547619047619048
10,5,0.6517857142857143
