round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9303482587064676
1,1,0.4527363184079602
1,2,0.44776119402985076
1,3,0.4577114427860697
1,4,0.4577114427860697
1,5,0.4427860696517413
2,0,0.9253731343283582
2,1,0.527363184079602
2,2,0.5074626865671642
2,3,0.527363184079602
2,4,0.5223880597014925
2,5,0.527363184079602
3,0,0.9253731343283582
3,1,0.5373134328358209
3,2,0.5422885572139303
3,3,0.5174129353233831
3,4,0.5323383084577115
3,5,0.5422885572139303
4,0,0.9203980099502488
4,1,0.5472636815920398
4,2,0.527363184079602
4,3,0.5174129353233831
4,4,0.527363184079602
4,5,0.5373134328358209
5,0,0.9104477611940298
5,1,0.572139303482587
5,2,0.527363184079602
5,3,0.5174129353233831
5,4,0.5124378109452736
5,5,0.5472636815920398
6,0,0.8691588785046729
6,1,0.5607476635514018
6,2,0.5420560747663551
6,3,0.514018691588785
6,4,0.5233644859813084
6,5,0.5233644859813084
7,0,0.897196261682243
7,1,0.5700934579439252
7,2,0.5514018691588785
7,3,0.5420560747663551
7,4,0.5327102803738317
7,5,0.5607476635514018
8,0,0.897196261682243
8,1,0.5700934579439252
8,2,0.5233644859813084
8,3,0.5514018691588785
8,4,0.5607476635514018
8,5,0.514018691588785
9,0,0.9065420560747663
9,1,0.5700934579439252
9,2,0.5420560747663551
9,3,0.5420560747663551
9,4,0.5420560747663551
9,5,0.5514018691588785
10,0,0.8878504672897196
10,1,0.5514018691588785
10,2,0.5233644859813084
10,3,0.5233644859813084
10,4,0.5420560747663551
10,5,0.5514018691588785
11,0,0.8785046728971962
11,1,0.5700934579439252
11,2,0.5514018691588785
11,3,0.5700934579439252
11,4,0.5233644859813084
11,5,0.5514018691588785
