round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9196428571428571
1,1,0.4
1,2,0.3869047619047619
1,3,0.4059701492537313
1,4,0.4166666666666667
1,5,0.41369047619047616
2,0,0.9077380952380952
2,1,0.5015015015015015
2,2,0.4880239520958084
2,3,0.4954954954954955
2,4,0.4984984984984985
2,5,0.5134328358208955
3,0,0.8958333333333334
3,1,0.5813253012048193
3,2,0.5508982035928144
3,3,0.572289156626506
3,4,0.5465465465465466
3,5,0.5838323353293413
4,0,0.8928571428571429
4,1,0.6060606060606061
4,2,0.5838323353293413
4,3,0.6012084592145015
4,4,0.5885885885885885
4,5,0.5975975975975976
5,0,0.8988095238095238
5,1,0.6196319018404908
5,2,0.6066066066066066
5,3,0.6193353474320241
5,4,0.6024096385542169
5,5,0.6216216216216216
6,0,0.8898809523809523
6,1,0.6411042944785276
6,2,0.6272727272727273
6,3,0.6344410876132931
6,4,0.6193353474320241
6,5,0.6396396396396397
7,0,0.8839285714285714
7,1,0.6512345679012346
7,2,0.6261398176291794
7,3,0.6454545454545455
7,4,0.6465256797583081
7,5,0.6385542168674698
8,0,0.8809523809523809
8,1,0.65527950310559
8,2,0.6402439024390244
8,3,0.6545454545454545
8,4,0.649546827794562
8,5,0.6555891238670695
9,0,0.8809523809523809
9,1,0.6583850931677019
9,2,0.6463414634146342
9,3,0.6484848484848484
9,4,0.6575757575757576
9,5,0.6616314199395771
10,0,0.8809523809523809
10,1,0.659375
10,2,0.654434250764526
10,3,0.6504559270516718
10,4,0.6565349544072948
10,5,0.6586102719033232
