round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9466019417475728
1,1,0.34957369062119364
1,2,0.3487241798298906
1,3,0.3478787878787879
1,4,0.35365853658536583
1,5,0.36739659367396593
2,0,0.9451887941534713
2,1,0.3772893772893773
2,2,0.37682926829268293
2,3,0.36874236874236876
2,4,0.37423312883435583
2,5,0.38095238095238093
3,0,0.9423312883435583
3,1,0.38253382533825336
3,2,0.3818849449204406
3,3,0.36486486486486486
3,4,0.3819530284301607
3,5,0.38650306748466257
4,0,0.9405204460966543
4,1,0.3802992518703242
4,2,0.38271604938271603
4,3,0.3691358024691358
4,4,0.37281795511221943
4,5,0.38813349814585907
5,0,0.9413233458177278
5,1,0.380352644836272
5,2,0.37546933667083854
5,3,0.38375
5,4,0.3745271122320303
5,5,0.38923654568210264
6,0,0.9390088945362135
6,1,0.3818646232439336
6,2,0.37659033078880405
6,3,0.3753180661577608
6,4,0.3737244897959184
6,5,0.3905852417302799
7,0,0.9412532637075718
7,1,0.3704663212435233
7,2,0.36964980544747084
7,3,0.3748378728923476
7,4,0.3681462140992167
7,5,0.3815104166666667
8,0,0.9371657754010695
8,1,0.3485254691689008
8,2,0.3648468708388815
8,3,0.356
8,4,0.36155913978494625
8,5,0.3753351206434316
9,0,0.9315068493150684
9,1,0.34210526315789475
9,2,0.35704514363885087
9,3,0.35131396957123096
9,4,0.35269709543568467
9,5,0.3656509695290859
10,0,0.9274310595065312
10,1,0.33136966126656847
10,2,0.3391812865497076
10,3,0.32554744525547447
10,4,0.3328488372093023
10,5,0.33480176211453744
