round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9525862068965517
1,1,0.27586206896551724
1,2,0.2629310344827586
1,3,0.25862068965517243
1,4,0.2629310344827586
1,5,0.2672413793103448
2,0,0.9568965517241379
2,1,0.27586206896551724
2,2,0.2629310344827586
2,3,0.25862068965517243
2,4,0.2629310344827586
2,5,0.2672413793103448
3,0,0.9568965517241379
3,1,0.27586206896551724
3,2,0.2629310344827586
3,3,0.25862068965517243
3,4,0.2629310344827586
3,5,0.2672413793103448
4,0,0.9568965517241379
4,1,0.27586206896551724
4,2,0.2629310344827586
4,3,0.25862068965517243
4,4,0.2629310344827586
4,5,0.2672413793103448
5,0,0.9568965517241379
5,1,0.27586206896551724
5,2,0.2629310344827586
5,3,0.25862068965517243
5,4,0.2629310344827586
5,5,0.2672413793103448
6,0,0.9525862068965517
6,1,0.27586206896551724
6,2,0.2629310344827586
6,3,0.25862068965517243
6,4,0.2629310344827586
6,5,0.2672413793103448
7,0,0.9482758620689655
7,1,0.27586206896551724
7,2,0.2629310344827586
7,3,0.25862068965517243
7,4,0.2629310344827586
7,5,0.2672413793103448
8,0,0.9439655172413793
8,1,0.27586206896551724
8,2,0.2629310344827586
8,3,0.25862068965517243
8,4,0.2629310344827586
8,5,0.2672413793103448
9,0,0.9439655172413793
9,1,0.27586206896551724
9,2,0.2629310344827586
9,3,0.25862068965517243
9,4,0.2629310344827586
9,5,0.2672413793103448
10,0,0.9439655172413793
10,1,0.27586206896551724
10,2,0.2629310344827586
10,3,0.25862068965517243
10,4,0.2629310344827586
10,5,0.2672413793103448
