round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.30275229357798167
1,1,0.3068702290076336
1,2,0.29923664122137406
1,3,0.3058103975535168
1,4,0.3048780487804878
1,5,0.29923664122137406
2,0,0.3058103975535168
2,1,0.30474732006125577
2,2,0.29555895865237364
2,3,0.30368098159509205
2,4,0.2981651376146789
2,5,0.29555895865237364
3,0,0.30368098159509205
3,1,0.30568356374807987
3,2,0.2980030721966206
3,3,0.30153846153846153
3,4,0.2964669738863287
3,5,0.2964669738863287
4,0,0.30368098159509205
4,1,0.30568356374807987
4,2,0.2995391705069124
4,3,0.3030769230769231
4,4,0.2980030721966206
4,5,0.2995391705069124
5,0,0.30368098159509205
5,1,0.30568356374807987
5,2,0.2995391705069124
5,3,0.3030769230769231
5,4,0.3010752688172043
5,5,0.2995391705069124
6,0,0.30368098159509205
6,1,0.30721966205837176
6,2,0.3010752688172043
6,3,0.3030769230769231
6,4,0.3010752688172043
6,5,0.2995391705069124
7,0,0.30368098159509205
7,1,0.30615384615384617
7,2,0.3010752688172043
7,3,0.3046153846153846
7,4,0.3010752688172043
7,5,0.3
8,0,0.30368098159509205
8,1,0.3055555555555556
8,2,0.3020030816640986
8,3,0.3075734157650695
8,4,0.300462249614792
8,5,0.2993827160493827
9,0,0.30368098159509205
9,1,0.30697674418604654
9,2,0.3029366306027821
9,3,0.30793157076205285
9,4,0.3018575851393189
9,5,0.30124223602484473
10,0,0.3065015479876161
10,1,0.31045241809672386
10,2,0.30434782608695654
10,3,0.3088923556942278
10,4,0.3048211508553655
10,5,0.30359937402190923
