round,agent,infected_prob
0,0,0.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.288
1,1,0.9448818897637795
1,2,0.3117408906882591
1,3,0.30039525691699603
1,4,0.2976190476190476
1,5,0.2903225806451613
2,0,0.29098360655737704
2,1,0.9402390438247012
2,2,0.29918032786885246
2,3,0.3064516129032258
2,4,0.291497975708502
2,5,0.3004115226337449
3,0,0.2987551867219917
3,1,0.9442231075697212
3,2,0.29411764705882354
3,3,0.3070539419087137
3,4,0.2768595041322314
3,5,0.2923728813559322
4,0,0.31223628691983124
4,1,0.9428571428571428
4,2,0.296137339055794
4,3,0.3135593220338983
4,4,0.2905982905982906
4,5,0.30131004366812225
5,0,0.30869565217391304
5,1,0.9439655172413793
5,2,0.3141592920353982
5,3,0.31877729257641924
5,4,0.2925764192139738
5,5,0.3013698630136986
6,0,0.31981981981981983
6,1,0.9459459459459459
6,2,0.30092592592592593
6,3,0.3073394495412844
6,4,0.3059360730593607
6,5,0.2985781990521327
7,0,0.3170731707317073
7,1,0.9425837320574163
7,2,0.35714285714285715
7,3,0.32211538461538464
7,4,0.315
7,5,0.31443298969072164
8,0,0.33146067415730335
8,1,0.9550561797752809
8,2,0.29444444444444445
8,3,0.31693989071038253
8,4,0.30857142857142855
8,5,0.31666666666666665
9,0,0.3057324840764331
9,1,0.9605263157894737
9,2,0.33548387096774196
9,3,0.33544303797468356
9,4,0.34868421052631576
9,5,0.32894736842105265
10,0,0.3524590163934426
10,1,0.9491525423728814
10,2,0.3135593220338983
10,3,0.328
10,4,0.3220338983050847
10,5,0.33620689655172414
