round,agent,infected_prob
0,0,0.0
0,1,1.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.304
1,1,0.2909967845659164
1,2,0.2962962962962963
1,3,0.2956381260096931
1,4,0.3042071197411003
1,5,0.2977346278317152
2,0,0.29967948717948717
2,1,0.2875605815831987
2,2,0.2924071082390953
2,3,0.2965964343598055
2,4,0.3008130081300813
2,5,0.29545454545454547
3,0,0.29967948717948717
3,1,0.28802588996763756
3,2,0.2912621359223301
3,3,0.2965964343598055
3,4,0.3008130081300813
3,5,0.2947882736156352
4,0,0.29967948717948717
4,1,0.28733766233766234
4,2,0.2912621359223301
4,3,0.2959349593495935
4,4,0.30130293159609123
4,5,0.29526916802610115
5,0,0.3001605136436597
5,1,0.28733766233766234
5,2,0.2912621359223301
5,3,0.2969004893964111
5,4,0.300163132137031
5,5,0.2945990180032733
6,0,0.3001605136436597
6,1,0.28780487804878047
6,2,0.2912621359223301
6,3,0.2969004893964111
6,4,0.300163132137031
6,5,0.2967213114754098
7,0,0.2990353697749196
7,1,0.28874388254486133
7,2,0.2901134521880065
7,3,0.29508196721311475
7,4,0.2995090016366612
7,5,0.29654036243822074
8,0,0.3
8,1,0.2875816993464052
8,2,0.2899022801302932
8,3,0.2939244663382594
8,4,0.29720853858784896
8,5,0.2947019867549669
9,0,0.30048465266558966
9,1,0.28594771241830064
9,2,0.2899022801302932
9,3,0.2922824302134647
9,4,0.29720853858784896
9,5,0.2947019867549669
10,0,0.30048465266558966
10,1,0.28594771241830064
10,2,0.2899022801302932
10,3,0.29276315789473684
10,4,0.29720853858784896
10,5,0.2947019867549669
