round,agent,infected_prob
0,0,0.0
0,1,1.0
0,2,1.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.38076923076923075
1,1,0.95
1,2,0.9692307692307692
1,3,0.3192307692307692
1,4,0.31153846153846154
1,5,0.3269230769230769
2,0,0.41923076923076924
2,1,0.9576923076923077
2,2,0.9730769230769231
2,3,0.38461538461538464
2,4,0.38461538461538464
2,5,0.3938223938223938
3,0,0.45384615384615384
3,1,0.9498069498069498
3,2,0.9691119691119691
3,3,0.4186046511627907
3,4,0.40540540540540543
3,5,0.4247104247104247
4,0,0.47104247104247104
4,1,0.9536679536679536
4,2,0.9688715953307393
4,3,0.4669260700389105
4,4,0.45525291828793774
4,5,0.4263565891472868
5,0,0.5038759689922481
5,1,0.9536679536679536
5,2,0.9688715953307393
5,3,0.48638132295719844
5,4,0.4708171206225681
5,5,0.4669260700389105
6,0,0.515748031496063
6,1,0.953125
6,2,0.96875
6,3,0.5098039215686274
6,4,0.4921875
6,5,0.49411764705882355
7,0,0.5357142857142857
7,1,0.9486166007905138
7,2,0.9683794466403162
7,3,0.5138339920948617
7,4,0.515748031496063
7,5,0.5098814229249012
8,0,0.532
8,1,0.9516129032258065
8,2,0.9715447154471545
8,3,0.5317460317460317
8,4,0.5277777777777778
8,5,0.5180722891566265
9,0,0.5394190871369294
9,1,0.9621848739495799
9,2,0.9708333333333333
9,3,0.5271966527196653
9,4,0.5267489711934157
9,5,0.5228215767634855
10,0,0.5462555066079295
10,1,0.9592760180995475
10,2,0.9690265486725663
10,3,0.5384615384615384
10,4,0.55
10,5,0.545045045045045
