round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,1.0
0,3,0.0
0,4,1.0
0,5,0.0
1,0,0.3020833333333333
1,1,0.29910714285714285
1,2,0.30357142857142855
1,3,0.29464285714285715
1,4,0.31398809523809523
1,5,0.2976190476190476
2,0,0.2976190476190476
2,1,0.2976190476190476
2,2,0.3020833333333333
2,3,0.29464285714285715
2,4,0.31101190476190477
2,5,0.29910714285714285
3,0,0.2976190476190476
3,1,0.2976190476190476
3,2,0.3020833333333333
3,3,0.2961309523809524
3,4,0.31101190476190477
3,5,0.3005952380952381
4,0,0.2976190476190476
4,1,0.2976190476190476
4,2,0.3005952380952381
4,3,0.2961309523809524
4,4,0.31101190476190477
4,5,0.3020833333333333
5,0,0.2976190476190476
5,1,0.2976190476190476
5,2,0.3005952380952381
5,3,0.2961309523809524
5,4,0.31101190476190477
5,5,0.3020833333333333
6,0,0.2976190476190476
6,1,0.2976190476190476
6,2,0.3005952380952381
6,3,0.2961309523809524
6,4,0.31101190476190477
6,5,0.3005952380952381
7,0,0.2976190476190476
7,1,0.2976190476190476
7,2,0.29910714285714285
7,3,0.2961309523809524
7,4,0.31101190476190477
7,5,0.3005952380952381
8,0,0.2976190476190476
8,1,0.2976190476190476
8,2,0.29910714285714285
8,3,0.2961309523809524
8,4,0.31101190476190477
8,5,0.3005952380952381
9,0,0.2976190476190476
9,1,0.2976190476190476
9,2,0.2976190476190476
9,3,0.2961309523809524
9,4,0.31101190476190477
9,5,0.3005952380952381
10,0,0.2976190476190476
10,1,0.2976190476190476
10,2,0.2961309523809524
10,3,0.2961309523809524
10,4,0.31101190476190477
10,5,0.3005952380952381
