round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.272452068617558
1,1,0.26809378185524974
1,2,0.2665985699693565
1,3,0.2774390243902439
1,4,0.27134146341463417
1,5,0.27235772357723576
2,0,0.26816239316239315
2,1,0.26868905742145177
2,2,0.26680896478121663
2,3,0.2742796157950907
2,4,0.2740740740740741
2,5,0.2722457627118644
3,0,0.263986013986014
3,1,0.2736660929432014
3,2,0.26621160409556316
3,3,0.25806451612903225
3,4,0.26666666666666666
3,5,0.26506024096385544
4,0,0.26229508196721313
4,1,0.2664233576642336
4,2,0.26798561151079137
4,3,0.26824817518248173
4,4,0.2641165755919854
4,5,0.2664233576642336
5,0,0.26704545454545453
5,1,0.25946969696969696
5,2,0.260707635009311
5,3,0.26037735849056604
5,4,0.26454033771106944
5,5,0.26037735849056604
6,0,0.25868725868725867
6,1,0.2553191489361702
6,2,0.2606177606177606
6,3,0.26120857699805067
6,4,0.25680933852140075
6,5,0.2606177606177606
7,0,0.25595238095238093
7,1,0.2559055118110236
7,2,0.2564102564102564
7,3,0.2544731610337972
7,4,0.25742574257425743
7,5,0.25595238095238093
8,0,0.2545090180360721
8,1,0.2560483870967742
8,2,0.2560483870967742
8,3,0.2565130260521042
8,4,0.25250501002004005
8,5,0.2595573440643863
9,0,0.25609756097560976
9,1,0.25661914460285135
9,2,0.2571428571428571
9,3,0.2545824847250509
9,4,0.25557809330628806
9,5,0.25609756097560976
10,0,0.2577962577962578
10,1,0.25826446280991733
10,2,0.2567287784679089
10,3,0.25667351129363447
10,4,0.25766871165644173
10,5,0.2581967213114754
