round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9662698412698413
1,1,0.29003021148036257
1,2,0.29141716566866266
1,3,0.2982107355864811
1,4,0.2901296111665005
1,5,0.29054726368159206
2,0,0.968222442899702
2,1,0.2972420837589377
2,2,0.30482897384305835
2,3,0.2958876629889669
2,4,0.30954773869346736
2,5,0.29889669007021064
3,0,0.9656716417910448
3,1,0.29595015576323985
3,2,0.3067484662576687
3,3,0.30335365853658536
3,4,0.3006134969325153
3,5,0.3073394495412844
4,0,0.9671150971599403
4,1,0.3113207547169811
4,2,0.3157894736842105
4,3,0.30745341614906835
4,4,0.3080495356037152
4,5,0.30625
5,0,0.968421052631579
5,1,0.31645569620253167
5,2,0.3166926677067083
5,3,0.31513260530421217
5,4,0.3213166144200627
5,5,0.315541601255887
6,0,0.9668674698795181
6,1,0.326984126984127
6,2,0.3322884012539185
6,3,0.3281004709576138
6,4,0.32967032967032966
6,5,0.3291338582677165
7,0,0.9667673716012085
7,1,0.3312
7,2,0.3411949685534591
7,3,0.3359621451104101
7,4,0.33858267716535434
7,5,0.3291139240506329
8,0,0.9667170953101362
8,1,0.33816425120772947
8,2,0.34231378763866877
8,3,0.3465818759936407
8,4,0.33860759493670883
8,5,0.3338632750397456
9,0,0.9652042360060514
9,1,0.3414239482200647
9,2,0.3502377179080824
9,3,0.3444976076555024
9,4,0.3476190476190476
9,5,0.33811802232854865
10,0,0.9651515151515152
10,1,0.3463414634146341
10,2,0.3481717011128776
10,3,0.35303514376996803
10,4,0.344
10,5,0.3492822966507177
