round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.951417004048583
1,1,0.25101214574898784
1,2,0.2591093117408907
1,3,0.27125506072874495
1,4,0.2591093117408907
1,5,0.2550607287449393
2,0,0.951417004048583
2,1,0.2631578947368421
2,2,0.26720647773279355
2,3,0.2793522267206478
2,4,0.2793522267206478
2,5,0.2631578947368421
3,0,0.951417004048583
3,1,0.27530364372469635
3,2,0.29554655870445345
3,3,0.29959514170040485
3,4,0.29959514170040485
3,5,0.2834008097165992
4,0,0.951417004048583
4,1,0.29554655870445345
4,2,0.3076923076923077
4,3,0.32388663967611336
4,4,0.3117408906882591
4,5,0.3076923076923077
5,0,0.951417004048583
5,1,0.3117408906882591
5,2,0.32388663967611336
5,3,0.31983805668016196
5,4,0.3319838056680162
5,5,0.3117408906882591
6,0,0.951417004048583
6,1,0.31983805668016196
6,2,0.3319838056680162
6,3,0.3319838056680162
6,4,0.32388663967611336
6,5,0.32793522267206476
7,0,0.951417004048583
7,1,0.32388663967611336
7,2,0.3319838056680162
7,3,0.3319838056680162
7,4,0.340080971659919
7,5,0.32388663967611336
8,0,0.951417004048583
8,1,0.32388663967611336
8,2,0.3319838056680162
8,3,0.340080971659919
8,4,0.3319838056680162
8,5,0.32388663967611336
9,0,0.9473684210526315
9,1,0.32793522267206476
9,2,0.3360323886639676
9,3,0.3319838056680162
9,4,0.340080971659919
9,5,0.32793522267206476
10,0,0.9311740890688259
10,1,0.3360323886639676
10,2,0.3360323886639676
10,3,0.340080971659919
10,4,0.3319838056680162
10,5,0.3319838056680162
