round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9481481481481482
1,1,0.2518518518518518
1,2,0.23703703703703705
1,3,0.25925925925925924
1,4,0.24444444444444444
1,5,0.24444444444444444
2,0,0.9481481481481482
2,1,0.24444444444444444
2,2,0.2518518518518518
2,3,0.24444444444444444
2,4,0.26666666666666666
2,5,0.25925925925925924
3,0,0.9481481481481482
3,1,0.26666666666666666
3,2,0.25925925925925924
3,3,0.25925925925925924
3,4,0.26666666666666666
3,5,0.26666666666666666
4,0,0.9481481481481482
4,1,0.26666666666666666
4,2,0.26666666666666666
4,3,0.2814814814814815
4,4,0.2740740740740741
4,5,0.2740740740740741
5,0,0.9481481481481482
5,1,0.26666666666666666
5,2,0.26666666666666666
5,3,0.26666666666666666
5,4,0.2740740740740741
5,5,0.2740740740740741
6,0,0.9481481481481482
6,1,0.26666666666666666
6,2,0.26666666666666666
6,3,0.2814814814814815
6,4,0.26666666666666666
6,5,0.2740740740740741
7,0,0.9481481481481482
7,1,0.26666666666666666
7,2,0.2740740740740741
7,3,0.26666666666666666
7,4,0.2814814814814815
7,5,0.2740740740740741
8,0,0.9481481481481482
8,1,0.25925925925925924
8,2,0.26666666666666666
8,3,0.2814814814814815
8,4,0.2740740740740741
8,5,0.2814814814814815
9,0,0.9481481481481482
9,1,0.26666666666666666
9,2,0.26666666666666666
9,3,0.26666666666666666
9,4,0.2814814814814815
9,5,0.25925925925925924
10,0,0.9333333333333333
10,1,0.25925925925925924
10,2,0.2814814814814815
10,3,0.2814814814814815
10,4,0.26666666666666666
10,5,0.2814814814814815
