round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9415041782729805
1,1,0.2562674094707521
1,2,0.27298050139275765
1,3,0.2757660167130919
1,4,0.2618384401114206
1,5,0.2618384401114206
2,0,0.9415041782729805
2,1,0.2841225626740947
2,2,0.2841225626740947
2,3,0.29526462395543174
2,4,0.28690807799442897
2,5,0.2757660167130919
3,0,0.9415041782729805
3,1,0.30362116991643456
3,2,0.3231197771587744
3,3,0.31754874651810583
3,4,0.31197771587743733
3,5,0.3064066852367688
4,0,0.9415041782729805
4,1,0.32590529247910865
4,2,0.3370473537604457
4,3,0.34540389972144847
4,4,0.3342618384401114
4,5,0.3342618384401114
5,0,0.9415041782729805
5,1,0.3426183844011142
5,2,0.35097493036211697
5,3,0.34818941504178275
5,4,0.35376044568245124
5,5,0.3370473537604457
6,0,0.9415041782729805
6,1,0.35097493036211697
6,2,0.3565459610027855
6,3,0.35376044568245124
6,4,0.35097493036211697
6,5,0.3593314763231198
7,0,0.9415041782729805
7,1,0.35376044568245124
7,2,0.35097493036211697
7,3,0.3565459610027855
7,4,0.362116991643454
7,5,0.34818941504178275
8,0,0.9415041782729805
8,1,0.35097493036211697
8,2,0.3593314763231198
8,3,0.3593314763231198
8,4,0.35376044568245124
8,5,0.35376044568245124
9,0,0.9387186629526463
9,1,0.3565459610027855
9,2,0.3565459610027855
9,3,0.3565459610027855
9,4,0.3593314763231198
9,5,0.35376044568245124
10,0,0.924791086350975
10,1,0.3593314763231198
10,2,0.362116991643454
10,3,0.3649025069637883
10,4,0.35376044568245124
10,5,0.3565459610027855
