round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,1.0
0,3,0.0
0,4,1.0
0,5,0.0
1,0,0.3333333333333333
1,1,0.2966360856269113
1,2,0.9454365079365079
1,3,0.535140562248996
1,4,0.9474206349206349
1,5,0.31636726546906185
2,0,0.5035750766087844
2,1,0.35670103092783506
2,2,0.9454365079365079
2,3,0.6666666666666666
2,4,0.9484126984126984
2,5,0.3794147325933401
3,0,0.6006191950464397
3,1,0.47874015748031495
3,2,0.9459459459459459
3,3,0.7092307692307692
3,4,0.9522388059701492
3,5,0.5023183925811437
4,0,0.6499215070643642
4,1,0.5645933014354066
4,2,0.9458646616541353
4,3,0.717628705148206
4,4,0.953662182361734
4,5,0.5723270440251572
5,0,0.6538461538461539
5,1,0.5967741935483871
5,2,0.9501510574018127
5,3,0.7384370015948963
5,4,0.9535232383808095
5,5,0.6193548387096774
6,0,0.6856677524429967
6,1,0.6320132013201321
6,2,0.9496951219512195
6,3,0.7386363636363636
6,4,0.9532428355957768
6,5,0.6360655737704918
7,0,0.6811352253756261
7,1,0.6442953020134228
7,2,0.9480122324159022
7,3,0.7483552631578947
7,4,0.9544072948328267
7,5,0.6627906976744186
8,0,0.697986577181208
8,1,0.6689303904923599
8,2,0.9476923076923077
8,3,0.7331081081081081
8,4,0.9525993883792049
8,5,0.6739864864864865
9,0,0.7240204429301533
9,1,0.6757679180887372
9,2,0.9459041731066461
9,3,0.7436332767402377
9,4,0.9555214723926381
9,5,0.6928327645051194
10,0,0.7157534246575342
10,1,0.6884681583476764
10,2,0.9455676516329704
10,3,0.7508591065292096
10,4,0.9553158705701078
10,5,0.6867469879518072
